n = 100, k = 20:
p = 5.000e-02, l = 2.17, c = 0.63 
p = 1.000e-01, l = 2.07, c = 0.56 
p = 1.500e-01, l = 1.96, c = 0.49 
p = 2.000e-01, l = 1.88, c = 0.40 
p = 2.500e-01, l = 1.86, c = 0.38 
p = 3.000e-01, l = 1.83, c = 0.32 
p = 3.500e-01, l = 1.83, c = 0.30 
p = 4.000e-01, l = 1.83, c = 0.28 
p = 4.500e-01, l = 1.82, c = 0.24 
p = 5.000e-01, l = 1.81, c = 0.24 
p = 5.500e-01, l = 1.81, c = 0.22 
p = 6.000e-01, l = 1.81, c = 0.22 
p = 6.500e-01, l = 1.81, c = 0.21 
p = 7.000e-01, l = 1.81, c = 0.19 
p = 7.500e-01, l = 1.81, c = 0.19 
p = 8.000e-01, l = 1.81, c = 0.20 
p = 8.500e-01, l = 1.81, c = 0.20 
p = 9.000e-01, l = 1.81, c = 0.20 
p = 9.500e-01, l = 1.81, c = 0.20 
p = 1.000e+00, l = 1.81, c = 0.20 
n = 1000, k = 20:
p = 5.000e-02, l = 3.59, c = 0.61 
p = 1.000e-01, l = 3.20, c = 0.52 
p = 1.500e-01, l = 3.06, c = 0.45 
p = 2.000e-01, l = 2.93, c = 0.37 
p = 2.500e-01, l = 2.85, c = 0.31 
p = 3.000e-01, l = 2.80, c = 0.25 
p = 3.500e-01, l = 2.76, c = 0.20 
p = 4.000e-01, l = 2.74, c = 0.16 
p = 4.500e-01, l = 2.71, c = 0.13 
p = 5.000e-01, l = 2.70, c = 0.10 
p = 5.500e-01, l = 2.68, c = 0.08 
p = 6.000e-01, l = 2.67, c = 0.06 
p = 6.500e-01, l = 2.66, c = 0.05 
p = 7.000e-01, l = 2.65, c = 0.04 
p = 7.500e-01, l = 2.65, c = 0.03 
p = 8.000e-01, l = 2.64, c = 0.02 
p = 8.500e-01, l = 2.64, c = 0.02 
p = 9.000e-01, l = 2.64, c = 0.02 
p = 9.500e-01, l = 2.64, c = 0.02 
p = 1.000e+00, l = 2.64, c = 0.02 
n = 5000, k = 20:
p = 5.000e-02, l = 4.55, c = 0.61 
p = 1.000e-01, l = 4.04, c = 0.52 
p = 1.500e-01, l = 3.76, c = 0.44 
p = 2.000e-01, l = 3.63, c = 0.37 
p = 2.500e-01, l = 3.54, c = 0.30 
p = 3.000e-01, l = 3.46, c = 0.24 
p = 3.500e-01, l = 3.41, c = 0.20 
p = 4.000e-01, l = 3.35, c = 0.16 
p = 4.500e-01, l = 3.30, c = 0.12 
p = 5.000e-01, l = 3.26, c = 0.09 
p = 5.500e-01, l = 3.23, c = 0.07 
p = 6.000e-01, l = 3.20, c = 0.05 
p = 6.500e-01, l = 3.18, c = 0.03 
p = 7.000e-01, l = 3.16, c = 0.02 
p = 7.500e-01, l = 3.15, c = 0.01 
p = 8.000e-01, l = 3.14, c = 0.01 
p = 8.500e-01, l = 3.13, c = 0.01 
p = 9.000e-01, l = 3.13, c = 0.00 
p = 9.500e-01, l = 3.13, c = 0.00 
p = 1.000e+00, l = 3.13, c = 0.00 
Time used for running 20 times n = 100 is: 0.7921s 
Time used for running 20 times n = 1000 is: 57.3715s 
Time used for running 20 times n = 5000 is: 1877.6125s 
