p = 0, l0 = 25.475, c0 = 0.711 
p = 1.000e-04, l/l0 = 0.910 9.505e-02, c/c0 = 1.000 1.690e-04
p = 1.585e-04, l/l0 = 0.828 1.506e-01, c/c0 = 1.000 4.448e-04
p = 2.512e-04, l/l0 = 0.745 1.256e-01, c/c0 = 0.999 3.583e-04
p = 3.981e-04, l/l0 = 0.614 8.413e-02, c/c0 = 0.999 3.771e-04
p = 6.310e-04, l/l0 = 0.496 7.539e-02, c/c0 = 0.998 8.852e-04
p = 1.000e-03, l/l0 = 0.431 5.767e-02, c/c0 = 0.997 8.184e-04
p = 1.585e-03, l/l0 = 0.348 2.206e-02, c/c0 = 0.995 6.010e-04
p = 2.512e-03, l/l0 = 0.297 2.202e-02, c/c0 = 0.993 1.680e-03
p = 3.981e-03, l/l0 = 0.247 1.236e-02, c/c0 = 0.987 2.092e-03
p = 6.310e-03, l/l0 = 0.223 9.201e-03, c/c0 = 0.982 2.281e-03
p = 1.000e-02, l/l0 = 0.196 3.118e-03, c/c0 = 0.971 1.927e-03
p = 1.585e-02, l/l0 = 0.174 2.308e-03, c/c0 = 0.954 2.939e-03
p = 2.512e-02, l/l0 = 0.159 1.552e-03, c/c0 = 0.929 3.518e-03
p = 3.981e-02, l/l0 = 0.145 1.341e-03, c/c0 = 0.885 6.204e-03
p = 6.310e-02, l/l0 = 0.135 7.105e-04, c/c0 = 0.824 6.255e-03
p = 1.000e-01, l/l0 = 0.126 4.621e-04, c/c0 = 0.736 6.622e-03
p = 1.585e-01, l/l0 = 0.118 5.263e-04, c/c0 = 0.601 8.944e-03
p = 2.512e-01, l/l0 = 0.112 2.104e-04, c/c0 = 0.428 6.824e-03
p = 3.981e-01, l/l0 = 0.107 8.802e-05, c/c0 = 0.234 3.948e-03
p = 6.310e-01, l/l0 = 0.105 4.567e-05, c/c0 = 0.074 1.852e-03
p = 1, l1/l0 = 0.104 1.076e-05, c1/c0 = 0.027 3.675e-04 
Time used: 497.4212s
