p = 0, l0 = 125.475, c0 = 0.711 
p = 1.000e-04, l/l0 = 0.549 1.331e-01, c/c0 = 1.000 9.571e-05
p = 1.585e-04, l/l0 = 0.434 8.293e-02, c/c0 = 1.000 1.510e-04
p = 2.512e-04, l/l0 = 0.316 4.556e-02, c/c0 = 0.999 1.496e-04
p = 3.981e-04, l/l0 = 0.253 4.266e-02, c/c0 = 0.999 2.821e-04
p = 6.310e-04, l/l0 = 0.167 1.350e-02, c/c0 = 0.998 2.410e-04
p = 1.000e-03, l/l0 = 0.144 1.350e-02, c/c0 = 0.997 5.668e-04
p = 1.585e-03, l/l0 = 0.110 7.414e-03, c/c0 = 0.995 6.467e-04
p = 2.512e-03, l/l0 = 0.088 2.958e-03, c/c0 = 0.993 5.021e-04
p = 3.981e-03, l/l0 = 0.073 2.670e-03, c/c0 = 0.988 9.971e-04
p = 6.310e-03, l/l0 = 0.062 8.208e-04, c/c0 = 0.982 7.695e-04
p = 1.000e-02, l/l0 = 0.053 8.694e-04, c/c0 = 0.970 1.501e-03
p = 1.585e-02, l/l0 = 0.047 6.135e-04, c/c0 = 0.953 2.710e-03
p = 2.512e-02, l/l0 = 0.042 3.142e-04, c/c0 = 0.927 2.413e-03
p = 3.981e-02, l/l0 = 0.038 1.548e-04, c/c0 = 0.886 2.096e-03
p = 6.310e-02, l/l0 = 0.035 1.209e-04, c/c0 = 0.826 3.453e-03
p = 1.000e-01, l/l0 = 0.032 8.127e-05, c/c0 = 0.732 3.473e-03
p = 1.585e-01, l/l0 = 0.030 5.124e-05, c/c0 = 0.601 4.317e-03
p = 2.512e-01, l/l0 = 0.028 2.538e-05, c/c0 = 0.424 3.325e-03
p = 3.981e-01, l/l0 = 0.027 2.430e-05, c/c0 = 0.224 3.259e-03
p = 6.310e-01, l/l0 = 0.025 7.886e-06, c/c0 = 0.055 9.794e-04
p = 1, l1/l0 = 0.025 2.111e-06, c1/c0 = 0.005 1.666e-04 
Time used: 14566.7287s
